apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['xdsopl.robot36_64', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['miccah.mpvremote_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.aleksandr.dccppthrottle_1333', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.shadowsocks.plugin.ck_client_22', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['com.blogspot.developersu.ns_usbloader_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.grating.recolldroid_2', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 0, 12], [32, 31, 0, 1]), [2, 1, 1], [0, 0]]
['com.smoothie.wirelessDebuggingSwitch_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.jsl.shmp_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.localsend.localsend_app_563', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [3, 0, 1], [0, 0]]
['pro.oblivioncoding.fluffy_board_33112291', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([35, 4, 31], [129, 115, 1, 13]), [2, 0, 1], [0, 0]]
['net.thunderbird.android.beta_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([14, 6, 8], [102, 77, 0, 25]), [2, 1, 1], [0, 0]]
['de.seemoo.at_tracking_detection_50', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['chat.simplex.app_269', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([31, 23, 8], [151, 123, 0, 28]), [5, 2, 1], [0, 0]]
['de.bulling.barcodebuddyscanner_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['allen.town.focus.mastodon_1630', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 3, 0], [11, 3, 0, 8]), [1, 0, 1], [0, 0]]
['com.drhoffmannstoolsdataloggerreader_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.project_kaat.gpsdrelay_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.trianguloy.urlchecker_38', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.elektropepi.bootboi_11', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([197, 129, 68], [512, 428, 0, 84]), [28, 0, 14], [0, 0]]
['tech.platypush.platypush_1000100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['hev.sockstun_4', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 3, 0], [5, 5, 0, 0]), [1, 0, 1], [0, 0]]
['org.disrupted.rumble_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.example.flutter_http_server_40', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['de.cweiske.headphoneindicator_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.sinpo.xnfc_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.gnosco.share2archivetoday_30', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.loeuillet.wifi_eap_sim_conf_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['pl.net.szafraniec.NFCKey_24', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.hackerchick.sharetoinputstick_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.shadowsocks.tv_5030450', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [3, 0, 0], [0, 0]]
['nodomain.freeyourgadget.tpmsmonitor_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.trianguloy.continuousDataUsage_28', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.syss.MifareClassicTool_68', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.usikkert.kouchat.android_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.vsmartcard.remotesmartcardreader.app_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.jerameeldelosreyes.bacon_13', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([212, 132, 80], [549, 456, 0, 93]), [57, 0, 14], [0, 0]]
['de.rochefort.childmonitor_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.ibbaa.keepitup_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
