apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.pgnapps.pk2_1029', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([49, 39, 10], [134, 133, 0, 1]), [8, 2, 1], [0, 0]]
['com.roguetemple.hyperroid_13002', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([22, 0, 22], [34, 34, 0, 0]), [1, 1, 0], [0, 0]]
['ro.hume.cosmin.retrostack_6', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([59, 59, 0], [326, 285, 0, 41]), [1, 1, 0], [0, 0]]
['com.example.spokennumbers_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['xyz.deepdaikon.quinb_10', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([118, 27, 91], [301, 206, 5, 90]), [2, 0, 1], [0, 0]]
['se.traffar.dot_race_4', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([22, 20, 2], [59, 59, 0, 0]), [4, 2, 1], [0, 0]]
['com.traffar.a24game_5', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([22, 20, 2], [59, 59, 0, 0]), [4, 2, 1], [0, 0]]
['com.evilinsult_43', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.numguesser.tonio_rpchp.numberguesser_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['crypto.o0o0o0o0o.games.blackjack_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.lichess.mobileapp.free_8000000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([6, 0, 6], [8, 8, 0, 0]), [3, 2, 0], [0, 0]]
['dev.corruptedark.openchaoschess_53', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.silentlexx.instead_16109', 1, [0, 0, 1, 0, 0, 0, 0, 0], 0, ([10, 10, 0], [26, 26, 0, 0]), [5, 2, 2], [0, 0]]
['com.hexad.bluezime_20', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['se.danielj.geometridestroyer_2', 1, [0, 1, 1, 0, 0, 0, 0, 0], 0, ([465, 106, 359], [1614, 1526, 0, 88]), [3, 3, 0], [0, 0]]
['com.mobile.bummerzaehler_160', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.develz.crawl_33', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([31, 29, 2], [82, 81, 0, 1]), [11, 2, 1], [0, 0]]
['net.artificialworlds.rabbitescape_134', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.endeepak.dotsnsquares_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.emmanuelmess.itsdicey_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.emmanuelmess.tictactoe_3', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([398, 135, 263], [1380, 1339, 0, 41]), [3, 3, 0], [0, 0]]
['com.github.jameshnsears.chance_102435', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 0, 12], [32, 31, 0, 1]), [2, 1, 1], [0, 0]]
['org.pipoypipagames.cowsrevenge_9', 1, [0, 1, 0, 0, 0, 0, 0, 0], 0, ([23, 23, 0], [75, 70, 0, 5]), [1, 1, 0], [0, 0]]
['org.moire.opensudoku_20250124', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.idunnololz.igo_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([3, 3, 0], [6, 6, 0, 0]), [0, 0, 0], [0, 0]]
['org.scid.android_55', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([28, 28, 0], [56, 50, 0, 6]), [0, 0, 0], [0, 0]]
['com.quaap.primary_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.agateau.burgerparty_34', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([58, 58, 0], [321, 282, 0, 39]), [1, 1, 0], [0, 0]]
['fr.pssoftware.scoretarot_20', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.playsoftware.j2meloader_101', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([306, 304, 2], [931, 918, 0, 13]), [14, 6, 2], [0, 0]]
['com.smorgasbork.hotdeath_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gpl.rpg.AndorsTrail_79', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.bahnhoefe.deutschlands.bahnhofsfotos_93', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.jsl.shmp_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.afrikalan.tuxmath_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.dozingcatsoftware.cardswithcats_4', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([330, 40, 290], [663, 407, 9, 247]), [2, 0, 1], [0, 0]]
['com.daviancorp.android.monsterhunter3udatabase_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.flare.app_114', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([50, 42, 8], [134, 133, 0, 1]), [6, 1, 1], [0, 0]]
['cz.hejl.chesswalk_9', 1, [0, 0, 1, 0, 0, 0, 0, 0], 0, ([1, 0, 1], [4, 4, 0, 0]), [1, 1, 0], [0, 0]]
['x653.bullseye_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.boombuler.games.shift_101', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([179, 1, 178], [621, 621, 0, 0]), [0, 0, 0], [0, 0]]
['io.githubfede0d.planetrider_1', 1, [0, 0, 1, 0, 0, 0, 0, 0], 0, ([20, 20, 0], [63, 58, 0, 5]), [1, 1, 0], [0, 0]]
['org.gnu.itsmoroto.cifrasoletras_10301', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.quaap.computationaldemonology_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.tobiasbielefeld.solitaire_71', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.enjoyingfoss.parlera_12', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['org.ogre.browser_19', 1, [0, 0, 0, 1, 0, 0, 0, 0], 1, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['org.ligi.gobandroidhd.ai.gnugo_212', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([2, 2, 0], [4, 4, 0, 0]), [1, 1, 0], [0, 0]]
['org.cuberite.android_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
