apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.zakky.memopad_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['fr.nuage.souvenirs_39', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['troop.com.freedcam_282', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([109, 4, 105], [393, 277, 0, 116]), [5, 2, 1], [0, 0]]
['pro.oblivioncoding.fluffy_board_33112291', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([35, 4, 31], [129, 115, 1, 13]), [2, 0, 1], [0, 0]]
['org.tuxpaint_9340', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([54, 46, 8], [145, 143, 0, 2]), [97, 2, 1], [0, 0]]
['com.mshdabiola.playnotepad.foss_137', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 4, 8], [30, 29, 0, 1]), [2, 1, 1], [0, 0]]
['anupam.acrylic_19', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.therealbluepandabear.pixapencil_26', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([18, 18, 0], [83, 48, 0, 35]), [5, 4, 0], [0, 0]]
['com.kjxbyz.picguard_436', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([52, 14, 38], [179, 160, 1, 18]), [5, 2, 1], [0, 0]]
['unisiegen.photographers.activity_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mrl.pixiv_10013', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.benny.pxerstudio_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.drawpile_2020204004', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([100, 93, 7], [281, 261, 1, 19]), [34, 1, 4], [0, 0]]
['de.kaffeemitkoffein.feinstaubwidget_34', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.k3b.android.camerafolder_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gmail.mugcuposup.android_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.secuso.privacyfriendlysketching_2', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([62, 7, 55], [140, 135, 0, 5]), [1, 0, 1], [0, 0]]
['com.developerfromjokela.motioneyeclient_10000008', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gtp.showapicturetoyourfriend_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.rj.pixelesque_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.perol.asdpl.play.pixivez.libre_118', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([85, 19, 66], [246, 243, 0, 3]), [2, 1, 1], [0, 0]]
['mobi.omegacentauri.SendReduced_2800', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.msx80.retrodrawing_4', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([59, 59, 0], [326, 285, 0, 41]), [1, 1, 0], [0, 0]]
['org.appsroid.fxpro_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['rocks.poopjournal.metadataremover_20020', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gmail.altakey.effy_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
