apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.starapps.tools.tnefextractor_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.vertretungsplan.client.android_9', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['fr.rhaz.ipfs.sweet_20', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.howeyc.crocgui_38']
['org.framasoft.peertube_18', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([52, 14, 38], [179, 160, 1, 18]), [4, 1, 1], [0, 0]]
['gr.ndre.scuttloid_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ch.abertschi.waterme.water_me_8', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['nl.moeilijkedingen.jellyfinaudioplayer_33', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([315, 161, 154], [765, 620, 0, 145]), [46, 1, 23], [0, 0]]
['app.pachli_26', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([289, 288, 1], [950, 724, 0, 226]), [2, 0, 2], [0, 0]]
['chat.schildi.android_9604', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([680, 86, 594], [1559, 1136, 0, 423]), [9, 4, 4], [0, 0]]
['com.github.samotari.paynoway_20100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.perflyst.twire_534', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([10, 3, 7], [25, 16, 0, 9]), [1, 0, 1], [0, 0]]
['chat.fluffy.fluffychat_3536', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([292, 201, 91], [914, 739, 9, 166]), [9, 1, 3], [0, 0]]
