apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['net.taler.merchantpos_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['biz.binarysolutions.vatcalculator_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.samotari.paynoway_20100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.encointer.wallet_879', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([226, 30, 196], [486, 273, 5, 208]), [2, 0, 1], [0, 0]]
['com.minimalisticapps.priceconverter_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.langerhans.wallet_400', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([4, 4, 0], [16, 14, 0, 2]), [1, 0, 1], [0, 0]]
['info.tangential.cone_28', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([24, 4, 20], [98, 87, 1, 10]), [2, 0, 1], [0, 0]]
['org.totschnig.myexpenses_777', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([260, 246, 14], [712, 697, 0, 15]), [4, 1, 3], [0, 0]]
['com.starry.greenstash_391', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.simpledecredwidget_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['protect.gift_card_guard_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.taler.wallet.fdroid_524', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([81, 69, 12], [348, 282, 0, 66]), [4, 2, 2], [0, 0]]
['de.box2code.matoid_2', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([105, 18, 87], [266, 190, 4, 72]), [2, 0, 1], [0, 0]]
['hashengineering.groestlcoin.wallet_test_100701', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([4, 4, 0], [13, 11, 0, 2]), [1, 0, 1], [0, 0]]
