apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['ac.robinson.mediaphone_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.ebt.muzei.miyazaki_320', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.google.zxing.client.android_108', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.isdp.trirose_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.hzontal.tellaFOSS_149', 1, [1, 1, 1, 1, 1, 0, 0, 1], 0, ([68, 11, 57], [197, 174, 0, 23]), [2, 1, 1], [0, 0]]
['com.stonegate.tsacdop_48', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([31, 4, 27], [113, 101, 1, 11]), [2, 0, 1], [0, 0]]
['org.framasoft.peertube_18', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([52, 14, 38], [179, 160, 1, 18]), [4, 1, 1], [0, 0]]
['com.illusionman1212.lyricsgrabbr_84', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['nl.moeilijkedingen.jellyfinaudioplayer_33', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([315, 161, 154], [765, 620, 0, 145]), [46, 1, 23], [0, 0]]
['app.alextran.immich_182', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([563, 8, 555], [1122, 785, 1, 336]), [4, 0, 2], [0, 0]]
['com.dimowner.audiorecorder_935', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.christinecoenen.code.zapp_74', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.perflyst.twire_534', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([10, 3, 7], [25, 16, 0, 9]), [1, 0, 1], [0, 0]]
['swati4star.createpdf_110', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['cat.jordihernandez.cinecat_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.oxycblt.auxio_53', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([9, 3, 6], [26, 23, 0, 3]), [1, 1, 1], [0, 0]]
['link.standen.michael.slideshow_51', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.markusfisch.android.binaryeye_141', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([5, 0, 5], [40, 30, 0, 10]), [1, 1, 0], [0, 0]]
['urbanstew.RehearsalAssistant_26', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.monde_diplomatique.android.app.free_20200900', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([863, 317, 546], [2085, 1549, 0, 536]), [3, 2, 2], [0, 0]]
['uk.me.amugofjava.anytime_160', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['org.sensors2.pd_4', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([48, 48, 0], [116, 113, 0, 3]), [12, 2, 2], [0, 0]]
['com.intervigil.micdroid_34', 1, [0, 1, 1, 0, 0, 0, 0, 0], 0, ([48, 43, 5], [105, 103, 0, 2]), [4, 4, 0], [0, 0]]
['miccah.mpvremote_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['alt.nainapps.aer_1735160000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['org.libreflix.app_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.libretube_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.martinmimigames.tinymusicplayer_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.iven.musicplayergo_187', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
