apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.nerdcircus.android.klaxon_27', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.kourlas.voipms_sms_152', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['chat.fluffy.fluffychat_3536', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([292, 201, 91], [914, 739, 9, 166]), [9, 1, 3], [0, 0]]
['com.mileskrell.texttorch_5', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([3, 3, 0], [10, 9, 0, 1]), [2, 1, 0], [0, 0]]
['com.infomaniak.meet_22', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([434, 275, 159], [1171, 919, 8, 244]), [57, 2, 17], [0, 0]]
['com.github.webierta.call_counter_5', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([35, 4, 31], [129, 115, 1, 13]), [2, 0, 1], [0, 0]]
['chat.simplex.app_269', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([31, 23, 8], [151, 123, 0, 28]), [5, 2, 1], [0, 0]]
['de.simplestatswidget_121', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['dummydomain.yetanothercallblocker_5170', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([288, 288, 0], [940, 715, 0, 225]), [1, 0, 1], [0, 0]]
['org.osmocom.tacdatabaseclient_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.lucky.vibe_17', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.schlikk.calls_100000', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.yardenac.comaphone_27', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['es.cesar.quitesleep_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.wivewa.android_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.chorem.android.saymytexts_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.spiritcroc.riotx_40101344', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([1646, 796, 850], [4399, 3703, 8, 688]), [72, 7, 24], [0, 0]]
['org.booncode.bluepass4_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['tranquvis.simplesmsremote_140', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['dev.octoshrimpy.quik_2224', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([427, 337, 90], [1313, 1293, 0, 20]), [1, 1, 1], [0, 0]]
['spam.blocker_403', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['at.bitfire.nophonespam_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.cheogram.android_4205704', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([482, 422, 60], [1522, 1153, 8, 361]), [2, 1, 2], [0, 0]]
['ir.remote.edifier.rc10e_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['foehnix.widget_40', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.logger.app_37', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['com.android.shellms_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.iatfei.streakalarm_27', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.pierreduchemin.smsforward_19', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.afkanerd.deku_64', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([317, 305, 12], [1038, 805, 0, 233]), [3, 1, 2], [0, 0]]
['com.stoutner.privacycell_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.hectorone.multismssender_18', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['d.d.meshenger_443', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([518, 464, 54], [1595, 1454, 8, 133]), [2, 2, 1], [0, 0]]
['net.yxejamir.misbotheringsms_1000000', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['eu.droogers.smsmatrix_16', 1, [1, 1, 0, 1, 1, 1, 0, 0], 0, ([455, 222, 233], [1448, 1419, 0, 29]), [2, 2, 1], [0, 0]]
['us.achromaticmetaphor.imcktg_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ro.ui.pttdroid_5', 1, [0, 0, 1, 0, 0, 0, 0, 0], 0, ([4, 4, 0], [10, 10, 0, 0]), [1, 1, 0], [0, 0]]
['com.github.yeriomin.smsscheduler_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['re.indigo.epistolaire_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.lucky.silence_50', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ru.seva.finder_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.stargw.contactsimport_37', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.teamdc.stephendiniz.autoaway_24', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.keepalive.android_130', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['opencontacts.open.com.opencontacts_31', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.soyblue.bluesound_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.vinaygopinath.launchchat_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.yeriomin.dumbphoneassistant_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.tmo1.sms_ie_107', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.brapeba.roaminginfo_44', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['chat.jmp.simmanager_294', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([47, 0, 47], [110, 107, 0, 3]), [1, 1, 1], [0, 0]]
['ru.henridellal.dialer_20', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tutpro.baresip.plus_191', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([106, 0, 106], [260, 259, 0, 1]), [9, 1, 1], [0, 0]]
['ir.remote.edifier.rc10d1_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.serwylo.babyphone_18', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.linphone_520053', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([2351, 5, 2346], [6107, 5397, 0, 710]), [13, 2, 1], [0, 0]]
