apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['us.achromaticmetaphor.agram_21', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([15, 5, 10], [32, 25, 0, 7]), [1, 1, 0], [0, 0]]
['top.fumiama.copymanga_62', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([69, 69, 0], [316, 251, 0, 65]), [1, 1, 1], [0, 0]]
['com.illusionman1212.lyricsgrabbr_84', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['com.desarrollodroide.pagekeeper_49', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['de.monde_diplomatique.android.app.free_20200900', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([863, 317, 546], [2085, 1549, 0, 536]), [3, 2, 2], [0, 0]]
['com.nima.openbooksdownloader_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.casimirlab.frigoligo_38', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [3, 0, 1], [0, 0]]
['me.murks.feedwatcher_27', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.opengemara.shiurim_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.michaeltroger.gruenerpass_59', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([5, 0, 5], [40, 30, 0, 10]), [2, 2, 0], [0, 0]]
['ru.yanus171.feedexfork_325', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.gabbo.forro_lyrics_18', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mshdabiola.playnotepad.foss_137', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 4, 8], [30, 29, 0, 1]), [2, 1, 1], [0, 0]]
['com.starry.myne_440', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
