apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.github.gschwind.fiddle_assistant_110', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([4, 0, 4], [11, 11, 0, 0]), [1, 1, 0], [0, 0]]
['org.windvolt_202110', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.sigseg.android.worldmap_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.icasdri.mather_300', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.tananaev.calculator_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.ridgebotics.ridgescout_6', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([20, 17, 3], [122, 87, 0, 35]), [2, 2, 0], [0, 0]]
['org.thecongers.mtpms_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.woheller69.seemless_13', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([13, 8, 5], [35, 19, 0, 16]), [3, 0, 2], [0, 0]]
['com.example.spokennumbers_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.docspell.docspellshare_40', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mattieapps.roommates_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['se.pp.mc.android.Gerberoid_10001', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([19, 3, 16], [55, 53, 0, 2]), [1, 0, 1], [0, 0]]
['com.llamacorp.equate_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.monde_diplomatique.android.app.free_20200900', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([863, 317, 546], [2085, 1549, 0, 536]), [3, 2, 2], [0, 0]]
['de.baswil.gctools_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.glanznig.beepme_22', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([4, 0, 4], [9, 9, 0, 0]), [1, 0, 1], [0, 0]]
['com.moimob.drinkable_15600', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.HS_Aalen.don_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.gianlucanitti.expreval_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.tamanegi.atmosphere_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.quaap.primary_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.studip.unofficial_app_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
