apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.nitish.privacyindicator_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['top.linesoft.open2share_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.oasisfeng.island.fdroid_51777', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.sovworks.edslite_237', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([87, 18, 69], [254, 251, 0, 3]), [12, 12, 4], [0, 0]]
['com.github.samotari.paynoway_20100', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['es.wolfi.app.passman_18', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 8, 0], [84, 60, 0, 24]), [2, 2, 0], [0, 0]]
['net.syntaxblitz.plucklock_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['alt.nainapps.aer_1735160000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.chesire.pushie_15', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([145, 21, 124], [251, 147, 4, 100]), [0, 0, 0], [0, 0]]
['de.mathfactory.mooltifill_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.arsvechkarev.vault_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ca.andries.portknocker_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.thauvin.erik.android.noussd_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.gitlab.cryptographic_id_17', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([154, 22, 132], [356, 219, 5, 132]), [2, 0, 1], [0, 0]]
['de.seemoo.at_tracking_detection_50', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['krasilnikov.alexey.cryptopass_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.pikselbit.wrongpinshutdown_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.serverfrog.pw.android_1016', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.u2fa.secur_5', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([31, 4, 27], [113, 101, 1, 11]), [2, 0, 1], [0, 0]]
['com.servoz.appsdisabler_122', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['proton.android.pass.fdroid_12805000', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([484, 230, 254], [1328, 967, 0, 361]), [5, 4, 1], [0, 0]]
['com.hobbyone.HashDroid_24', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['pro.kherel.selfprivacy_25', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([196, 29, 167], [431, 243, 6, 182]), [2, 0, 1], [0, 0]]
['net.xvello.salasana_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.stingle.photos_57', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([237, 72, 165], [1164, 1034, 0, 130]), [3, 2, 1], [0, 0]]
['in.shick.lockpatterngenerator_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.yolosec.routerkeygen2_80', 1, [0, 1, 0, 1, 0, 0, 0, 0], 0, ([5, 0, 5], [15, 15, 0, 0]), [2, 1, 0], [0, 0]]
